filename,total_functions,dependent_functions,function_names,dependent_calls
maelog.R,1,0,maelog,
magelog.R,1,0,magelog,
mstree_total_length.R,1,0,compute.mstree.total.length,
nada_graph_spectral_lowess.R,1,0,nada.graph.spectral.lowess,
outlier_detection.R,1,0,remove.knn.outliers,
parameterize_circular_graph.R,1,0,parameterize.circular.graph,
ray_agemalo.R,1,0,ray.agemalo,
spectral_lowess_graph_smoothing.R,1,0,spectral.lowess.graph.smoothing,
uggmalog.R,1,0,uggmalog,
uniform_grid_graph.R,1,0,create.grid.graph,
generate_knn_example_data.R,2,0,"generate.mixed.points, plot.mixed.points",
graph_analysis_sequence.R,2,0,"compute.graph.analysis.sequence, convert_to_1based",
graph_knn_regression.R,2,0,"graph_knn_regression, graph_lowess_deg0",
graph_lowess_deg1.R,2,0,"graph_lowess_deg1, graph_lowess_deg1_spectral",
kNN.R,2,0,"kNN.fn, kNN.v2.fn",
pruning_long_edges.R,2,0,"find.shortest.alt.path, shortest.alt.path.length",
state_space_end_pts_labels.R,2,0,"label.ag.3d, label.zbtx.3d",
uggmalo.R,2,0,"uggmalo, uggmalo.bayesian.bootstrap.with.uncertainty",
ulogit.R,2,0,"eigen.ulogit, ulogit",
agemalo.R,3,0,"agemalo, test.bidirectional.dijkstra, verify.paths",
fn_graphs.R,3,0,"analyze.function.aware.weights, construct.function.aware.graph, plot.function.aware.weights",
graph_maximal_packing.R,3,0,"create.maximal.packing, validate.maximal.packing, verify.maximal.packing",
hist_plots.R,3,0,"hist1, hist2, hist3",
local_complexity.R,3,0,"binary.local.complexity, pt.binary.local.complexity, pt.local.complexity",
math_utils.R,3,0,"bb.integrals, calculate.integrals, old.bb.integrals",
mean_shift_smoother.R,3,0,"mean.shift.data.smoother, mean.shift.data.smoother.adaptive, mean.shift.data.smoother.with.grad.field.averaging",
mknn_graphs.R,3,0,"create.mknn.graph, create.mknn.graphs, summary.mknn_graphs",
amagelo.R,4,0,"amagelo, print.amagelo, print.summary.amagelo, summary.amagelo",
gflow_basins.R,4,0,"find.gflow.basins, find.local.extrema, print.summary.gflow_basins, summary.gflow_basins",
graph_bw_adaptive_spectral_smoother.R,4,0,"graph.bw.adaptive.spectral.smoother, print.graph_bw_adaptive_spectral_smoother, print.summary.graph_bw_adaptive_spectral_smoother, summary.graph_bw_adaptive_spectral_smoother",
graph_edge_weight_deviations.R,4,0,"compute.edge.weight.deviations, compute.edge.weight.rel.deviations, remove.redundant.edges, remove.redundant.edges.with.rel.dev",
graph_gradient_flow_basins.R,4,0,"compute.graph.gradient.flow, lmax.basins, lmin.basins, set.boundary",
graph_low_pass_smoother.R,4,0,"klaps.low.pass.smoother, print.klaps_low_pass_smoother, print.summary.klaps_low_pass_smoother, summary.klaps_low_pass_smoother",
graph_spectral_filter.R,4,0,"graph.spectral.filter, print.graph_spectral_filter, print.summary.graph_spectral_filter, summary.graph_spectral_filter",
graph_spectrum.R,4,0,"graph.spectral.embedding, graph.spectrum, low.pass.filter, old.graph.spectral.embedding",
hHN_graphs.R,4,0,"bbmwd.over.hHN.graphs, create.hHN.graph, exclusion.cv.mad.over.hHN.graphs, imputation.cv.mad.over.hHN.graphs",
mst_completion_graphs.R,4,0,"create.cmst.graph, print.mst_completion_graph, print.summary.mst_completion_graph, summary.mst_completion_graph",
select_pts.R,4,0,"select.3d.pts, select.points3d, show.profile, simple.select.3d.pts",
graph_deg0_lowess_buffer_cv.R,5,0,"graph.deg0.lowess.buffer.cv, plot.graph_deg0_lowess_buffer_cv, print.graph_deg0_lowess_buffer_cv, print.summary.graph_deg0_lowess_buffer_cv, summary.graph_deg0_lowess_buffer_cv",
graph_deg0_lowess_cv.R,5,0,"graph.deg0.lowess.cv, plot.graph_deg0_lowess_cv, print.graph_deg0_lowess_cv, print.summary.graph_deg0_lowess_cv, summary.graph_deg0_lowess_cv",
graph_edit_distance.R,6,0,"analyze.distances, calculate.edit.distances, create.distance.plot, graph.edit.distance, graph.edit.distance.R, load.graph.data",
graph_kernel_smoother.R,6,0,"estimate.optimal.bandwidth.from.extrema.elbow, graph.kernel.smoother, plot.graph_kernel_smoother, print.graph_kernel_smoother, print.summary.graph_kernel_smoother, summary.graph_kernel_smoother",
nerve_cx_spectral_filter.R,6,0,"compare.graph.vs.nerve.cx.filtering, nerve.cx.spectral.filter, plot.nerve_cx_spectral_filter, print.nerve_cx_spectral_filter, print.summary.nerve_cx_spectral_filter, summary.nerve_cx_spectral_filter",
graph_diffusion_smoother.R,7,0,"ext.graph.diffusion.smoother, gds_grid_search, graph.diffusion.matrix.smoother, graph.diffusion.smoother, graph.diffusion.smoother.with.rescaling, instrumented.gds, plot.instrumented.gds",
harmonic_smoother.R,7,0,"get.region.boundary, harmonic.smoother, perform.harmonic.smoothing, plot.harmonic_smoother, print.harmonic_smoother, print.summary.harmonic_smoother, summary.harmonic_smoother",
pgmalog.R,8,0,"plot.diagnostic, plot.fit, plot.residuals, plot.residuals.hist, plot.upgmalog, print.summary.upgmalog, summary.upgmalog, upgmalog",
two_factor_analysis.R,8,0,"analyze.categorical.proportions, analyze.weighted.cst, create_latex_table, old.analyze.categorical.proportions, save_results, summarize.and.test.cst, two.factor.analysis, v0.summarize.and.test.cst",
geodesic_stats.R,9,0,"compute.geodesic.stats, compute.vertex.geodesic.stats, plot.geodesic_stats, plot.overlap.distribution, plot.vertex_geodesic_stats, print.geodesic_stats, summarize_overlap_statistics, summary.geodesic_stats, summary.vertex_geodesic_stats",
pgmalo.R,9,0,"pgmalo, plot.diagnostic, plot.fit, plot.residuals, plot.residuals.hist, plot.upgmalo, print.summary.upgmalo, summary.upgmalo, upgmalo",
latex.R,10,0,"add.tbl.to.latex.file, bin.ME.freq.perc.latex.tbl, create.freq.perc.latex.tbl, create.latex.table, includegraphics, includegraphics.by3, includegraphics2, includegraphics3, replace.latex.multicolumn.types.dynamic, replace.latex.tabular.types.dynamic",
graph_kmean.R,11,0,"graph.kmean, graph.kmean.bb.cri, graph.kmean.cv, plot.ugkmm, plot_diagnostic, plot_fit, plot_residuals, plot_residuals_hist, print.summary.ugkmm, summary.ugkmm, univariate.gkmm",
graphics.R,12,0,"itriangle.plot, plot.MSD, plot.chain.with.path, plot.graph, plot.graph.3d, plot.graphMScx, plot.kh.matrix, plot.model.errors, plot.prediction.errors, plot_igraph_3d, splot, triangle.plot",
graph_wave_smoothers.R,13,0,"adaptive.time.step, adaptive.wave.smoothing, alpha.func, apply.dirichlet.bc, apply.neumann.bc, backward.euler, crank.nicolson, damped.wave.equation, forward.euler, high.freq.damped.wave, leapfrog, wave.equation, wave.smoothing",
path_graphs.R,14,0,"compare.edge.sets, compare.paths, create.path.graph, create.path.graph.series, create.plm.graph, get.accessibility.matrix, get.edge.set, get.shortest.path, min.h.for.path, new.path.graph, print.path.graph, print.path.graph.series, summary.path.graph, summary.path.graph.series",
usmoothers.R,14,0,"create.comparison.df, gam.fit, kern.fit.loocv, kernlog.fit.loocv, loclog.fit.cv, loclog.fit.loocv, locpoly.fit.loocv, loess.fit.loocv, lowess.fit.loocv, old.loess.fit.loocv, pspline.fit.loocv, rf.fit, sm.spline.bb, vcm.fit",
bias_utils.R,22,0,"get.1d.binary.models.MABs, get.1d.models.MABs, get.gam.spline.MAB, get.gausspr.MAB, get.glmnet.spline.MAB, get.krr.MAB, get.krr.MAB.xD, get.locpoly.MAB, get.loess.MAB, get.loess.MAB.xD, get.np.MAB.xD, get.optimal.ntree, get.random.forest.MAB, get.random.forest.MAB.xD, get.random.forest.cv.MAB, get.rllm.MAB, get.rllm.MAB.xD, get.smooth.spline.MAB, get.spline.MAB.xD, get.svm.MAB, get.svm.MAB.xD, v1.get.spline.MAB",
