asset_id	asset_type	relative_path	source_path	source_kind	size_bytes	md5	generated_at
T01	table	tables/preprocessing_views.tsv	/Users/pgajer/current_projects/gflow_examples/retina_cell_cycle/results/retina_intersection_api_rerun_20260323a__smoke/02_prepare_features/preprocessing_views.tsv	retina_example	630	3bdc5eeace65963e28bf928b58a01267	2026-03-23 19:55:46 EDT
T02	table	tables/pseudotime_sweep_full.tsv	/Users/pgajer/current_projects/cell_cycle/data/pseudotime_method_sweep_summary.csv	cell_cycle	9924	4cdc0cd68de7fb98204627e7de27537c	2026-03-23 19:55:46 EDT
T03	table	tables/pseudotime_sweep_3k_extension.tsv	/Users/pgajer/current_projects/cell_cycle/data/pseudotime_method_sweep_3k_k09_35_summary.csv	cell_cycle	5292	5d68cdf5c95135c0f91ea4bcdee9584b	2026-03-23 19:55:46 EDT
T04	table	tables/targeted_k_curve.tsv	/Users/pgajer/current_projects/cell_cycle/data/notch_cellcycle_condexp_gcv_sweep_3k_k03_30/plots/gcv_norm_summary_by_k.csv	cell_cycle	3248	2b2fa963d15a4e83d7d57d45692d691a	2026-03-23 19:55:46 EDT
T05	table	tables/targeted_k_selection.tsv	/Users/pgajer/current_projects/cell_cycle/data/notch_cellcycle_condexp_gcv_sweep_3k_k03_30/tables/k_selection_from_distribution.csv	cell_cycle	96	d59c35e0c60596fcd8d35ff2c318db4a	2026-03-23 19:55:46 EDT
T06	table	tables/branch_selected_k.tsv	/Users/pgajer/current_projects/gflow_examples/retina_cell_cycle/results/retina_intersection_api_rerun_20260323a__smoke/03_fit_base_graph/lognorm_hvg__pca/selected_k.tsv; /Users/pgajer/current_projects/gflow_examples/retina_cell_cycle/results/retina_intersection_api_rerun_20260323a__smoke/03_fit_base_graph/residual_hvg__pca/selected_k.tsv	retina_example	713	a49f98972c8025e295284d9eaf5f7298	2026-03-23 19:55:46 EDT
T07	table	tables/branch_validation_diagnostics.tsv	/Users/pgajer/current_projects/gflow_examples/retina_cell_cycle/results/retina_intersection_api_rerun_20260323a__smoke/03_fit_base_graph/lognorm_hvg__pca/validation_diagnostics.tsv; /Users/pgajer/current_projects/gflow_examples/retina_cell_cycle/results/retina_intersection_api_rerun_20260323a__smoke/03_fit_base_graph/residual_hvg__pca/validation_diagnostics.tsv	retina_example	1046	616c7f97e70693304575a25588ce5041	2026-03-23 19:55:46 EDT
T08	table	tables/outcome_surface_summary.tsv	/Users/pgajer/current_projects/gflow_examples/retina_cell_cycle/results/retina_intersection_api_rerun_20260323a__smoke/04_refit_outcomes/outcome_surface_summary.tsv	retina_example	1773	20bafde439bf1d656c133ace2707c266	2026-03-23 19:55:46 EDT
T09	table	tables/gene_module_membership.tsv	/Users/pgajer/current_projects/cell_cycle/data/notch_vs_cellcycle_condexp_winner_3k_compare/biologist_question_scan/tables/gene_clusters_by_k10_profile.csv	cell_cycle	4466	5c89cd0e4bb69fffe05a5452652e3cd9	2026-03-23 19:55:46 EDT
T10	table	tables/module_bifurcation_pairs.tsv	/Users/pgajer/current_projects/cell_cycle/data/notch_vs_cellcycle_condexp_winner_3k_compare/biologist_followup_scan/tables/bifurcation_pair_summary_for_biology_followup.csv	cell_cycle	1442	e053a557b16298c52bdbce28e4be3a2a	2026-03-23 19:55:46 EDT
T11	table	tables/phase_bifurcation_scan.tsv	/Users/pgajer/current_projects/cell_cycle/data/notch_vs_cellcycle_condexp_winner_3k_compare/biologist_followup_scan/tables/phase_stratified_bifurcation_scan.csv	cell_cycle	3995	74724db59526ed3901a63f90243d030a	2026-03-23 19:55:46 EDT
T12	table	tables/phase_age_handoff_validation.tsv	/Users/pgajer/current_projects/cell_cycle/data/notch_vs_cellcycle_condexp_winner_3k_compare/biologist_followup_scan/tables/phase_age_handoff_validation_top_pairs.csv	cell_cycle	451	8d28a4bc319bcd6a7853803c365e9cc3	2026-03-23 19:55:46 EDT
F01	figure	figures/cluster_mean_trajectories_k10_vs_k20.png	/Users/pgajer/current_projects/cell_cycle/data/notch_vs_cellcycle_condexp_winner_3k_compare/biologist_question_scan/figures/cluster_mean_trajectories_k10_vs_k20.png	cell_cycle	431455	5a05d62353c6bf9e445a6cc49769c44b	2026-03-23 19:55:46 EDT
