gene_id	cluster	gene_symbol	gene_class
ENSMUSG00000000028	1	Cdc45	Cell cycle
ENSMUSG00000017499	1	Cdc6	Cell cycle
ENSMUSG00000022945	1	Chaf1b	Cell cycle
ENSMUSG00000054717	1	Hmgb2	Cell cycle
ENSMUSG00000030087	1	Klf15	Notch
ENSMUSG00000030678	1	Maz	Notch
ENSMUSG00000005410	1	Mcm5	Cell cycle
ENSMUSG00000026355	1	Mcm6	Cell cycle
ENSMUSG00000029730	1	Mcm7	Cell cycle
ENSMUSG00000024056	1	Ndc80	Cell cycle
ENSMUSG00000027342	1	Pcna	Cell cycle
ENSMUSG00000006678	1	Pola1	Cell cycle
ENSMUSG00000025395	1	Prim1	Cell cycle
ENSMUSG00000030346	1	Rad51ap1	Cell cycle
ENSMUSG00000004642	1	Slbp	Cell cycle
ENSMUSG00000037214	1	Thap1	Notch
ENSMUSG00000032397	1	Tipin	Cell cycle
ENSMUSG00000029591	1	Ung	Cell cycle
ENSMUSG00000028560	1	Usp1	Cell cycle
ENSMUSG00000046179	2	E2f8	Cell cycle
ENSMUSG00000074802	2	Gas2l3	Cell cycle
ENSMUSG00000052040	2	Klf13	Notch
ENSMUSG00000000078	2	Klf6	Notch
ENSMUSG00000033863	2	Klf9	Notch
ENSMUSG00000036752	2	Tubb4b	Cell cycle
ENSMUSG00000015749	3	Anp32e	Cell cycle
ENSMUSG00000022360	3	Atad2	Cell cycle
ENSMUSG00000030528	3	Blm	Cell cycle
ENSMUSG00000028282	3	Casp8ap2	Cell cycle
ENSMUSG00000009575	3	Cbx5	Cell cycle
ENSMUSG00000028212	3	Ccne2	Cell cycle
ENSMUSG00000055612	3	Cdca7	Cell cycle
ENSMUSG00000031629	3	Cenpu	Cell cycle
ENSMUSG00000028044	3	Cks1b	Cell cycle
ENSMUSG00000042489	3	Clspn	Cell cycle
ENSMUSG00000005698	3	Ctcf	Cell cycle
ENSMUSG00000022422	3	Dscc1	Cell cycle
ENSMUSG00000037474	3	Dtl	Cell cycle
ENSMUSG00000039748	3	Exo1	Cell cycle
ENSMUSG00000024742	3	Fen1	Cell cycle
ENSMUSG00000031821	3	Gins2	Cell cycle
ENSMUSG00000006715	3	Gmnn	Cell cycle
ENSMUSG00000025001	3	Hells	Cell cycle
ENSMUSG00000037465	3	Klf10	Notch
ENSMUSG00000020653	3	Klf11	Notch
ENSMUSG00000035397	3	Klf16	Notch
ENSMUSG00000025959	3	Klf7	Notch
ENSMUSG00000041649	3	Klf8	Notch
ENSMUSG00000002028	3	Kmt2a	Notch
ENSMUSG00000022673	3	Mcm4	Cell cycle
ENSMUSG00000021607	3	Mrpl36	Cell cycle
ENSMUSG00000024151	3	Msh2	Cell cycle
ENSMUSG00000028693	3	Nasp	Cell cycle
ENSMUSG00000020453	3	Patz1	Notch
ENSMUSG00000030726	3	Pold3	Cell cycle
ENSMUSG00000027395	3	Polr1b	Cell cycle
ENSMUSG00000027323	3	Rad51	Cell cycle
ENSMUSG00000022391	3	Rangap1	Cell cycle
ENSMUSG00000023104	3	Rfc2	Cell cycle
ENSMUSG00000030978	3	Rrm1	Cell cycle
ENSMUSG00000020649	3	Rrm2	Cell cycle
ENSMUSG00000001280	3	Sp1	Notch
ENSMUSG00000018678	3	Sp2	Notch
ENSMUSG00000027109	3	Sp3	Notch
ENSMUSG00000025323	3	Sp4	Notch
ENSMUSG00000025747	3	Tyms	Cell cycle
ENSMUSG00000041712	3	Ubr7	Cell cycle
ENSMUSG00000001228	3	Uhrf1	Cell cycle
ENSMUSG00000018377	3	Vezf1	Notch
ENSMUSG00000027242	3	Wdr76	Cell cycle
ENSMUSG00000020897	4	Aurkb	Cell cycle
ENSMUSG00000006398	4	Cdc20	Cell cycle
ENSMUSG00000044201	4	Cdc25c	Cell cycle
ENSMUSG00000048922	4	Cdca2	Cell cycle
ENSMUSG00000023505	4	Cdca3	Cell cycle
ENSMUSG00000028873	4	Cdca8	Cell cycle
ENSMUSG00000026605	4	Cenpf	Cell cycle
ENSMUSG00000037725	4	Ckap2	Cell cycle
ENSMUSG00000048327	4	Ckap2l	Cell cycle
ENSMUSG00000037544	4	Dlgap5	Cell cycle
ENSMUSG00000022385	4	Gtse1	Cell cycle
ENSMUSG00000044783	4	Hjurp	Cell cycle
ENSMUSG00000032254	4	Kif23	Cell cycle
ENSMUSG00000004880	4	Lbr	Cell cycle
ENSMUSG00000031004	4	Mki67	Cell cycle
ENSMUSG00000038252	4	Ncapd2	Cell cycle
ENSMUSG00000026622	4	Nek2	Cell cycle
ENSMUSG00000026683	4	Nuf2	Cell cycle
ENSMUSG00000034349	4	Smc4	Cell cycle
ENSMUSG00000020914	4	Top2a	Cell cycle
ENSMUSG00000027469	4	Tpx2	Cell cycle
ENSMUSG00000001403	4	Ube2c	Cell cycle
ENSMUSG00000036777	5	Anln	Cell cycle
ENSMUSG00000027496	5	Aurka	Cell cycle
ENSMUSG00000017716	5	Birc5	Cell cycle
ENSMUSG00000027379	5	Bub1	Cell cycle
ENSMUSG00000032218	5	Ccnb2	Cell cycle
ENSMUSG00000019942	5	Cdk1	Cell cycle
ENSMUSG00000029177	5	Cenpa	Cell cycle
ENSMUSG00000045328	5	Cenpe	Cell cycle
ENSMUSG00000040549	5	Ckap5	Cell cycle
ENSMUSG00000062248	5	Cks2	Cell cycle
ENSMUSG00000027699	5	Ect2	Cell cycle
ENSMUSG00000035293	5	G2e3	Cell cycle
ENSMUSG00000020330	5	Hmmr	Cell cycle
ENSMUSG00000012443	5	Kif11	Cell cycle
ENSMUSG00000024795	5	Kif20b	Cell cycle
ENSMUSG00000028678	5	Kif2c	Cell cycle
ENSMUSG00000027306	5	Nusap1	Cell cycle
ENSMUSG00000068744	5	Psrc1	Cell cycle
ENSMUSG00000037313	5	Tacc3	Cell cycle
ENSMUSG00000019961	5	Tmpo	Cell cycle
ENSMUSG00000038379	5	Ttk	Cell cycle
ENSMUSG00000046714	6	Foxc2	Notch
ENSMUSG00000097084	6	Foxl1	Notch
ENSMUSG00000072294	6	Klf12	Notch
ENSMUSG00000073209	6	Klf14	Notch
ENSMUSG00000069378	6	Prdm6	Notch
ENSMUSG00000031665	6	Sall1	Notch
ENSMUSG00000075304	6	Sp5	Notch
ENSMUSG00000016458	6	Wt1	Notch
