hvg_label	k	status	n	n_components	lcc_frac	method	pearson_r	spearman_rho
3k	9	ok	53556	1	1	geodesic	0.875817918274817	0.876398796047003
3k	10	ok	53556	1	1	geodesic	0.871536546603901	0.869702941066863
3k	11	ok	53556	1	1	geodesic	0.875451243803057	0.874129057605309
3k	12	ok	53556	1	1	geodesic	0.878183394618499	0.877309385671321
3k	13	ok	53556	1	1	geodesic	0.876517493310574	0.87486950537652
3k	14	ok	53556	1	1	geodesic	0.875826772135595	0.87572748927875
3k	15	ok	53556	1	1	geodesic	0.876631560119933	0.877412446230349
3k	16	ok	53556	1	1	geodesic	0.878228501546568	0.879960596274744
3k	17	ok	53556	1	1	geodesic	0.879904200117219	0.882769891046825
3k	18	ok	53556	1	1	geodesic	0.880521167145766	0.884329685569325
3k	19	ok	53556	1	1	geodesic	0.883584419717316	0.889258377685481
3k	20	ok	53556	1	1	geodesic	0.885321128882101	0.891522507682904
3k	21	ok	53556	1	1	geodesic	0.885057371353692	0.891768569234519
3k	22	ok	53556	1	1	geodesic	0.884743478471276	0.891841651025372
3k	23	ok	53556	1	1	geodesic	0.883292711112181	0.890339115907346
3k	24	ok	53556	1	1	geodesic	0.883294842349949	0.890247515364193
3k	25	ok	53556	1	1	geodesic	0.880966736073988	0.887643957625563
3k	26	ok	53556	1	1	geodesic	0.87998911028992	0.886399963587849
3k	27	ok	53556	1	1	geodesic	0.879951909095983	0.887003934165237
3k	28	ok	53556	1	1	geodesic	0.876015309388091	0.881998287966404
3k	29	ok	53556	1	1	geodesic	0.875864732190715	0.88147439788565
3k	30	ok	53556	1	1	geodesic	0.874044279267833	0.878372953261941
3k	31	ok	53556	1	1	geodesic	0.873936014659645	0.877952433776613
3k	32	ok	53556	1	1	geodesic	0.874361572710576	0.877870299122753
3k	33	ok	53556	1	1	geodesic	0.873385590783194	0.876091575416343
3k	34	ok	53556	1	1	geodesic	0.868259915734107	0.868940037154225
3k	35	ok	53556	1	1	geodesic	0.867933949879837	0.867989174146105
3k	9	ok	53556	1	1	diffusion	0.632621562594919	0.907888881113087
3k	10	ok	53556	1	1	diffusion	0.636922539310013	0.910321821195476
3k	11	ok	53556	1	1	diffusion	0.641224252918312	0.914447907244261
3k	12	ok	53556	1	1	diffusion	0.645362472542908	0.91774447614778
3k	13	ok	53556	1	1	diffusion	0.649556766093166	0.921667189257862
3k	14	ok	53556	1	1	diffusion	0.653100435951281	0.924420568021195
3k	15	ok	53556	1	1	diffusion	0.65748183238171	0.926030978539069
3k	16	ok	53556	1	1	diffusion	0.661428640964565	0.926153832490089
3k	17	ok	53556	1	1	diffusion	0.664907309249589	0.927983692987934
3k	18	ok	53556	1	1	diffusion	0.667548507611209	0.927779957467821
3k	19	ok	53556	1	1	diffusion	0.671150254532914	0.929706796845609
3k	20	ok	53556	1	1	diffusion	0.67417486940202	0.930491256505783
3k	21	ok	53556	1	1	diffusion	0.676981378011962	0.930531989948693
3k	22	ok	53556	1	1	diffusion	0.679605576077026	0.931855369124024
3k	23	ok	53556	1	1	diffusion	0.682642948174382	0.933088700139962
3k	24	ok	53556	1	1	diffusion	0.685624389742145	0.934574611079263
3k	25	ok	53556	1	1	diffusion	0.688697594883302	0.934286198859194
3k	26	ok	53556	1	1	diffusion	0.691579672416123	0.934944936967537
3k	27	ok	53556	1	1	diffusion	0.694501071938385	0.93577878121401
3k	28	ok	53556	1	1	diffusion	0.697080207373564	0.936213866969966
3k	29	ok	53556	1	1	diffusion	0.699440228870027	0.936375290384934
3k	30	ok	53556	1	1	diffusion	0.702112488957158	0.936377585047498
3k	31	ok	53556	1	1	diffusion	0.704934093427872	0.936717396406538
3k	32	ok	53556	1	1	diffusion	0.707356384709892	0.936670111185761
3k	33	ok	53556	1	1	diffusion	0.709943461524744	0.93660825898696
3k	34	ok	53556	1	1	diffusion	0.712447447858951	0.937020442320518
3k	35	ok	53556	1	1	diffusion	0.715781976863334	0.937294246469983
3k	9	ok	53556	1	1	potential	0.917187792946509	0.907888881113087
3k	10	ok	53556	1	1	potential	0.91954262316251	0.910321821195476
3k	11	ok	53556	1	1	potential	0.923157675910533	0.914447907244261
3k	12	ok	53556	1	1	potential	0.925898544375356	0.91774447614778
3k	13	ok	53556	1	1	potential	0.928698420676389	0.921667189257862
3k	14	ok	53556	1	1	potential	0.930875080003617	0.924420568021195
3k	15	ok	53556	1	1	potential	0.932158969390444	0.926030978539069
3k	16	ok	53556	1	1	potential	0.932779349880353	0.926153832490089
3k	17	ok	53556	1	1	potential	0.934547992435488	0.927983692987934
3k	18	ok	53556	1	1	potential	0.93465780734144	0.927779957467821
3k	19	ok	53556	1	1	potential	0.93639120565183	0.929706796845609
3k	20	ok	53556	1	1	potential	0.936946415983502	0.930491256505783
3k	21	ok	53556	1	1	potential	0.937148598819712	0.930531989948693
3k	22	ok	53556	1	1	potential	0.938021254593255	0.931855369124024
3k	23	ok	53556	1	1	potential	0.939000478658842	0.933088700139962
3k	24	ok	53556	1	1	potential	0.940152264292081	0.934574611079263
3k	25	ok	53556	1	1	potential	0.939808370539507	0.934286198859194
3k	26	ok	53556	1	1	potential	0.940166338577367	0.934944936967537
3k	27	ok	53556	1	1	potential	0.940817596570316	0.93577878121401
3k	28	ok	53556	1	1	potential	0.941198225532971	0.936213866969966
3k	29	ok	53556	1	1	potential	0.941370964037066	0.936375290384934
3k	30	ok	53556	1	1	potential	0.941366467110123	0.936377585047498
3k	31	ok	53556	1	1	potential	0.941658832307274	0.936717396406538
3k	32	ok	53556	1	1	potential	0.941602837709479	0.936670111185761
3k	33	ok	53556	1	1	potential	0.941379641669674	0.93660825898696
3k	34	ok	53556	1	1	potential	0.94160604872983	0.937020442320518
3k	35	ok	53556	1	1	potential	0.941835638565349	0.937294246469983
