"key","item_type","item_name","generic","class","source_file","ownership","intended_package","current_status","direct_callers","transitive_callers","tests","documentation","known_downstream_callers","lifecycle_action","target_release","protected_call_graph"
"export:adjusted.rand.index","export","adjusted.rand.index","","","R/clustering.R","CORE-PRIVATE","gflow-internal-or-specialist-package","public-export","congruence.with.labels","congruence.with.labels","tests/testthat/test-congruence-with-labels.R","man/adjusted.rand.index.Rd","none","REVIEW-AND-DEEXPORT","phase-5-or-6","no"
"export:analyze.dbscan.noise","export","analyze.dbscan.noise","","","R/extremality_utils.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/analyze.dbscan.noise.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:analyze.extrema.distribution","export","analyze.extrema.distribution","","","R/gflow_cx.R","PROTECTED","gflow","public-export","none","none","none","man/analyze.extrema.distribution.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:analyze.harmonic.extensions","export","analyze.harmonic.extensions","","","R/gflow_cx_utils.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/analyze.harmonic.extensions.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:angle.alignment","export","angle.alignment","","","R/circular_data_utils.R","CORE-PRIVATE","gflow-internal-or-specialist-package","public-export","none","none","none","man/angle.alignment.Rd","none","REVIEW-AND-DEEXPORT","phase-5-or-6","no"
"export:apply.harmonic.extension","export","apply.harmonic.extension","","","R/gflow_cx_utils.R","CORE-ANALYSIS","gflow","public-export","compare.harmonic.methods","analyze.harmonic.extensions;compare.harmonic.methods","none","man/apply.harmonic.extension.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:as.basin.complex","export","as.basin.complex","","","R/basin_complex.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-b.R;tests/testthat/test-basin-complex-phase-h.R","man/as.basin.complex.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:basin","export","basin","","","R/compute_basins_of_attraction.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-b.R;tests/testthat/test-basin-complex-phase-c.R;tests/testthat/test-basin-complex-phase-d.R;tests/testthat/test-basin-complex-phase-e.R;tests/testthat/test-basin-complex-phase-f.R;tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-basin-complex-phase-h.R;tests/testthat/test-basin-complex-plateau-flow.R;tests/testthat/test-basin-summary-cpp.R;tests/testthat/test-cleanup-ownership-guardrails.R;tests/testthat/test-compute-gfc-geometric-filter.R;tests/testthat/test-compute-gfc-summary-harmonization.R;tests/testthat/test-gfc-flow-closest-selection.R;tests/testthat/test-local-pca-charts.R;tests/testthat/test-phase2-smoothing-boundary.R;tests/testthat/test-rtcb-basins.R","man/basin.Rd","vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:225;vaginal_community_trajectory_types-coordination:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:18;vaginal_community_trajectory_types-coordination:R/od_basin_extractors.R:362;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:225;vaginal_community_trajectory_types-w1-audit:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:18;vaginal_community_trajectory_types-w1-audit:R/od_basin_extractors.R:362;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:225;vaginal_community_trajectory_types-w1:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:18;vaginal_community_trajectory_types-w1:R/od_basin_extractors.R:362;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:225;vaginal_community_trajectory_types-w2:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:18;vaginal_community_trajectory_types-w2:R/od_basin_extractors.R:698;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:225;vaginal_community_trajectory_types-w3-audit:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:18;vaginal_community_trajectory_types-w3-audit:R/od_basin_extractors.R:698;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:225;vaginal_community_trajectory_types-w3:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:18;vaginal_community_trajectory_types-w3:R/od_basin_extractors.R:698;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:225;vaginal_community_trajectory_types:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:18","PROTECT","outside-cleanup-scope","yes"
"export:basins","export","basins","","","R/compute_basins_of_attraction.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-b.R;tests/testthat/test-basin-complex-phase-c.R;tests/testthat/test-basin-complex-phase-e.R;tests/testthat/test-basin-complex-phase-f.R;tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-basin-complex-phase-h.R;tests/testthat/test-basin-summary-cpp.R;tests/testthat/test-compute-gfc-geometric-filter.R;tests/testthat/test-compute-gfc-summary-harmonization.R;tests/testthat/test-rtcb-basins.R","man/basins.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:bbmwd.over.hHN.graphs","export","bbmwd.over.hHN.graphs","","","R/hHN_graphs.R","EXAMPLE","tests-or-external-examples","public-export","none","none","none","man/bbmwd.over.hHN.graphs.Rd","none","DEEXPORT-THEN-MOVE","phase-5","no"
"export:build.se.tree","export","build.se.tree","","","R/se_tree.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/build.se.tree.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:build.sparse.transition","export","build.sparse.transition","","","R/diffusion_pseudotime_sparse.R","DGRAPHS","dgraphs","public-export","none","none","tests/testthat/test-diffusion-pseudotime-sparse.R","man/build.sparse.transition.Rd","none","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:cell.y.values","export","cell.y.values","","","R/compute_partition_cell_stats.R","PROTECTED","gflow","public-export","none","none","none","man/cell.y.values.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:classify.spurious.extrema","export","classify.spurious.extrema","","","R/gflow_cx.R","PROTECTED","gflow","public-export","create.hop.nbhd.extrema.df2","create.hop.nbhd.extrema.df2","none","man/classify.spurious.extrema.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:cluster.comono.graph","export","cluster.comono.graph","","","R/cluster_comono_graph.R","CORE-ANALYSIS","gflow","public-export","consensus.clustering;scan.resolution","consensus.clustering;scan.resolution","none","man/cluster.comono.graph.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:cluster.graph.louvain","export","cluster.graph.louvain","","","R/clustering.R","CORE-PRIVATE","gflow-internal-or-specialist-package","public-export","none","none","none","man/cluster.graph.louvain.Rd","CT_clearance:scripts/70_compare_ct_phylotype_graph_dcst_congruence.R:164;CT_clearance:scripts/70_compare_ct_phylotype_graph_dcst_congruence.R:165","REVIEW-AND-DEEXPORT","phase-5-or-6","no"
"export:cluster.local.extrema","export","cluster.local.extrema","","","R/cluster_local_extrema.R","PROTECTED","gflow","public-export","none","none","none","man/cluster.local.extrema.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:clusters.reorder","export","clusters.reorder","","","R/clustering.R","CORE-PRIVATE","gflow-internal-or-specialist-package","public-export","show.tx","show.tx","none","man/clusters.reorder.Rd","none","REVIEW-AND-DEEXPORT","phase-5-or-6","no"
"export:compare.harmonic.methods","export","compare.harmonic.methods","","","R/gflow_cx_utils.R","CORE-ANALYSIS","gflow","public-export","analyze.harmonic.extensions","analyze.harmonic.extensions","none","man/compare.harmonic.methods.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:compare.retained.extrema","export","compare.retained.extrema","","","R/gflow_cx.R","PROTECTED","gflow","public-export","none","none","none","man/compare.retained.extrema.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.basins.of.attraction","export","compute.basins.of.attraction","","","R/compute_basins_of_attraction.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-b.R;tests/testthat/test-basin-complex-phase-c.R;tests/testthat/test-basin-complex-phase-e.R;tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-basin-complex-phase-h.R;tests/testthat/test-basin-summary-cpp.R;tests/testthat/test-rtcb-basins.R","man/compute.basins.of.attraction.Rd","vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:221;vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:519;vaginal_community_trajectory_types-coordination:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-coordination:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:17;vaginal_community_trajectory_types-coordination:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:205;vaginal_community_trajectory_types-coordination:R/od_basin_extractors.R:351;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:221;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:519;vaginal_community_trajectory_types-w1-audit:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w1-audit:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:17;vaginal_community_trajectory_types-w1-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:205;vaginal_community_trajectory_types-w1-audit:R/od_basin_extractors.R:351;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:221;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:519;vaginal_community_trajectory_types-w1:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w1:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:17;vaginal_community_trajectory_types-w1:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:205;vaginal_community_trajectory_types-w1:R/od_basin_extractors.R:351;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:221;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:519;vaginal_community_trajectory_types-w2:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w2:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:17;vaginal_community_trajectory_types-w2:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:205;vaginal_community_trajectory_types-w2:R/od_basin_extractors.R:689;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:221;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:519;vaginal_community_trajectory_types-w3-audit:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w3-audit:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:17;vaginal_community_trajectory_types-w3-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:205;vaginal_community_trajectory_types-w3-audit:R/od_basin_extractors.R:689;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:221;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:519;vaginal_community_trajectory_types-w3:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w3:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:17;vaginal_community_trajectory_types-w3:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:205;vaginal_community_trajectory_types-w3:R/od_basin_extractors.R:689;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:221;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:519;vaginal_community_trajectory_types:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types:docs/phase_handoffs/od5a_basin_extractors_implementer_handoff_2026-07-06.md:17;vaginal_community_trajectory_types:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:205","PROTECT","outside-cleanup-scope","yes"
"export:compute.cluster.summary","export","compute.cluster.summary","","","R/extremality_utils.R","CORE-ANALYSIS","gflow","public-export","compare.representative.methods","compare.representative.methods","none","man/compute.cluster.summary.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:compute.dbscan.cluster.summary","export","compute.dbscan.cluster.summary","","","R/extremality_utils.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/compute.dbscan.cluster.summary.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:compute.diffusion.pseudotime.sparse","export","compute.diffusion.pseudotime.sparse","","","R/diffusion_pseudotime_sparse.R","DGRAPHS","dgraphs","public-export","none","none","tests/testthat/test-diffusion-pseudotime-sparse.R","man/compute.diffusion.pseudotime.sparse.Rd","cell_cycle:docs/pseudotime_hvg_3k5k8k_k_sweep_report.md:48;ZB:analysis/asv/057-bgd_m1_enrolment_disk_prevalence_test.R:461;ZB:analysis/asv/060-bgd_all_extrema_enrolment_disk_prevalence_test.R:468;ZB:analysis/asv/061-bgd_all_extrema_disk_leakage_test.R:275","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:compute.extrema.hop.nbhds","export","compute.extrema.hop.nbhds","","","R/extrema_utils.R","PROTECTED","gflow","public-export","compute.pextrema.nbhds","compute.pextrema.nbhds","none","man/compute.extrema.hop.nbhds.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.gfc","export","compute.gfc","","","R/compute_gfc.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-c.R;tests/testthat/test-basin-complex-phase-f.R;tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-basin-complex-phase-h.R;tests/testthat/test-compute-gfc-geometric-filter.R;tests/testthat/test-compute-gfc-summary-harmonization.R;tests/testthat/test-gfc-flow-closest-selection.R;tests/testthat/test-rtcb-basins.R","man/compute.gfc.Rd","AGP:R/17_evenness_endpoints_k7.R:883;AGP:R/17_evenness_endpoints_k7.R:894;gflowui:dev/manual_endpoint_list_construction.md:10;gflowui:endpoint_manual_editing_design.md:7;symptoms:R/20_evenness_endpoints_all_asv_k05.R:483;symptoms:R/20_evenness_endpoints_all_asv_k05.R:489;vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:220;vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:223;vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:518;vaginal_community_trajectory_types-coordination:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:214;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:220;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:223;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:518;vaginal_community_trajectory_types-w1-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:214;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:220;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:223;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:518;vaginal_community_trajectory_types-w1:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:214;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:220;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:223;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:518;vaginal_community_trajectory_types-w2:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:214;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:220;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:223;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:518;vaginal_community_trajectory_types-w3-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:214;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:220;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:223;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:518;vaginal_community_trajectory_types-w3:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:214;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:220;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:223;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:518;vaginal_community_trajectory_types:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:214;ZB:analysis/asv/057-bgd_m1_enrolment_disk_prevalence_test.R:1116;ZB:analysis/asv/058-bgd_m1_geodesic_vs_potential_disk_viz.R:403;ZB:analysis/asv/060-bgd_all_extrema_enrolment_disk_prevalence_test.R:1188;ZB:analysis/asv/061-bgd_all_extrema_disk_leakage_test.R:619;ZB:analysis/asv/063-bgd_m1_multimodal_disk_assoc.R:3820","PROTECT","outside-cleanup-scope","yes"
"export:compute.gfc.basins","export","compute.gfc.basins","","","R/compute_gfc_basins.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-h.R","man/compute.gfc.basins.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.gfc.flow","export","compute.gfc.flow","","","R/gfc_flow.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-h.R;tests/testthat/test-gfc-flow-closest-selection.R","man/compute.gfc.trajectory.Rd","none","PROTECT","outside-cleanup-scope","yes"
