"symbol","interface","ownership","r_callers","native_sources","status"
"C_epanechnikov_kernel_with_stop","C","CORE-PRIVATE","R/kernels.R","src/kernels.c","retained"
"C_triangular_kernel_with_stop","C","CORE-PRIVATE","R/kernels.R","src/kernels.c","retained"
"C_tr_exponential_kernel_with_stop","C","CORE-PRIVATE","R/kernels.R","src/kernels.c","retained"
"C_kernel_eval","C","CORE-PRIVATE","R/kernels.R","src/kernels.c","retained"
"C_runif_simplex","C","CORE-PRIVATE","R/random_sampling.R","src/c_random_sampling.c;src/graph_kmean.cpp;src/predictive_errors.cpp;src/stats_utils.c","retained"
"C_create_ED_grid_2D","C","CORE-PRIVATE","R/grids.R","src/grids.c","retained"
"C_create_ED_grid_3D","C","CORE-PRIVATE","R/grids.R","src/grids.c","retained"
"C_create_ED_grid_xD","C","CORE-PRIVATE","R/grids.R","src/grids.c","retained"
"C_create_ENPs_grid_2D","C","CORE-PRIVATE","R/grids.R","src/grids.c","retained"
"C_create_ENPs_grid_3D","C","CORE-PRIVATE","R/grids.R","src/grids.c","retained"
"C_mstree","C","CORE-PRIVATE","R/mstree.R","src/mstree_total_length.cpp;src/mstree.c","retained"
"C_matrix_wmeans","C","CORE-PRIVATE","R/row_wise_operations.R","src/stats_utils.c","retained"
"C_columnwise_wmean","C","CORE-PRIVATE","R/row_wise_operations.R","src/stats_utils.c","retained"
"C_columnwise_wmean_BB","C","CORE-PRIVATE","R/row_wise_operations.R","src/stats_utils.c","retained"
"C_columnwise_wmean_BB_qCrI","C","CORE-PRIVATE","R/row_wise_operations.R","src/stats_utils.c","retained"
"C_columnwise_wmean_BB_CrI_1","C","CORE-PRIVATE","R/row_wise_operations.R","src/stats_utils.c","retained"
"C_columnwise_wmean_BB_CrI_2","C","CORE-PRIVATE","R/row_wise_operations.R","src/stats_utils.c","retained"
"C_normalize_dist","C","CORE-PRIVATE","R/kernels.R","src/stats_utils.c","retained"
"C_pearson_wcor","C","CORE-PRIVATE","R/stats_utils.R","src/stats_utils.c","retained"
"C_pearson_wcor_BB_qCrI","C","CORE-PRIVATE","R/stats_utils.R","src/stats_utils.c","retained"
"S_gflow_openmp_diag","Call","CORE-PRIVATE","tests/testthat/test-phase7-native-dependencies.R","src/openmp_diag.cpp","retained"
"S_cluster_cell_trajectories","Call","CORE-PRIVATE","R/trajectory_graph_clustering.R","src/traj_clustering_r.cpp","retained"
"S_compute_harmonic_extension","Call","CORE-ANALYSIS","R/harmonic_extension.R","src/harmonic_extension_r.cpp","retained"
"S_select_max_density_trajectory","Call","CORE-ANALYSIS","R/harmonic_extension.R","src/harmonic_extension_r.cpp","retained"
"S_build_sparse_transition","Call","DGRAPHS","R/diffusion_pseudotime_sparse.R","src/diffusion_pseudotime_sparse_r.cpp","retained"
"S_compute_diffusion_pseudotime_sparse","Call","DGRAPHS","R/diffusion_pseudotime_sparse.R","src/diffusion_pseudotime_sparse_r.cpp","retained"
"S_compute_potential_pseudotime_sparse","Call","DGRAPHS","R/diffusion_pseudotime_sparse.R","src/diffusion_pseudotime_sparse_r.cpp","retained"
"S_phate_build_kernel","Call","DGRAPHS","R/phate_core.R","src/phate_core_r.cpp","retained"
"S_gfassoc_membership","Call","CORE-ASSOCIATION","R/gfassoc_utils.R","src/gfassoc_r.cpp","retained"
"S_gfassoc_polarity","Call","CORE-ASSOCIATION","R/gfassoc_utils.R","src/gfassoc_r.cpp","retained"
"S_gfassoc_basin_character","Call","CORE-ASSOCIATION","R/gfassoc_utils.R","src/gfassoc_r.cpp","retained"
"S_gfassoc_overlap","Call","CORE-ASSOCIATION","R/gfassoc_utils.R","src/gfassoc_r.cpp","retained"
"S_gfassoc_deviation","Call","CORE-ASSOCIATION","R/gfassoc_utils.R","src/gfassoc_r.cpp","retained"
"S_gfcor","Call","CORE-ASSOCIATION","R/gfcor.R","src/gfassoc_r.cpp","retained"
"S_construct_madag","Call","CORE-ANALYSIS","R/madag.R","src/madag_r.cpp","retained"
"S_enumerate_cell_trajectories","Call","CORE-ANALYSIS","R/madag.R","src/madag_r.cpp","retained"
"S_sample_cell_trajectories","Call","CORE-ANALYSIS","R/madag.R","src/madag_r.cpp","retained"
"S_trajectory_similarity_matrix","Call","CORE-ANALYSIS","R/madag.R","src/madag_r.cpp","retained"
"S_identify_bottlenecks","Call","CORE-ANALYSIS","R/madag.R","src/madag_r.cpp","retained"
"S_compute_gfc_flow","Call","PROTECTED","R/gfc_flow.R","src/gfc_flow_r.cpp","retained"
"S_compute_gfc_flow_matrix","Call","PROTECTED","R/gfc_flow.R","src/gfc_flow_r.cpp","retained"
"S_compute_vertex_density","Call","CORE-ANALYSIS","R/vertex_density.R","src/vertex_density_r.cpp","retained"
"S_compute_gfc_basins","Call","PROTECTED","R/compute_gfc_basins.R","src/gfc_basins_r.cpp","retained"
"S_compute_basins_of_attraction","Call","PROTECTED","R/compute_basins_of_attraction_rtcb.R;R/compute_basins_of_attraction.R","src/gfc.cpp;src/set_wgraph_basins_r.cpp;src/set_wgraph_basins_rtcb_r.cpp","retained"
"S_compute_basins_of_attraction_rtcb","Call","CORE-PRIVATE","R/compute_basins_of_attraction_rtcb.R","src/set_wgraph_basins_rtcb_r.cpp","retained"
"S_precompute_basin_vertex_metrics","Call","PROTECTED","R/compute_basins_of_attraction.R;R/compute_gfc.R","src/basin_summary_r.cpp","retained"
"S_summary_basins_of_attraction_cpp","Call","PROTECTED","R/compute_basins_of_attraction.R","src/basin_summary_r.cpp","retained"
"S_compute_hop_extremp_radii_batch","Call","PROTECTED","R/compute_pextrema_nbhds.R","src/hop_extremp_radii.cpp","retained"
"S_partition_graph","Call","CORE-PRIVATE","R/partition_graph.R","src/partition_graph_r.cpp","retained"
"S_create_basin_cx","Call","PROTECTED","R/basin_cx.R","src/gflow_basins_r.cpp","retained"
"S_find_gflow_basins","Call","PROTECTED","R/gflow_basins.R","src/gflow_basins_r.cpp","retained"
"S_construct_graph_gradient_flow","Call","PROTECTED","R/graph_gradient_flow.R","src/graph_gradient_flow.cpp","retained"
"S_analyze_function_aware_weights","Call","CORE-PRIVATE","R/fn_graphs.R","src/fn_graphs_r.cpp","retained"
"S_create_gflow_cx","Call","PROTECTED","R/gflow_cx.R","src/gflow_cx_r.cpp","retained"
"S_compute_extrema_hop_nbhds","Call","PROTECTED","R/extrema_utils.R","src/gflow_cx_r.cpp","retained"
"S_find_local_extrema","Call","PROTECTED","R/gflow_basins.R","src/gflow_basins_r.cpp","retained"
"S_detect_local_extrema","Call","PROTECTED","R/local_extrema.R","src/local_extrema_r.cpp","retained"
"S_graph_MS_cx_with_path_search","Call","PROTECTED","R/graph_MS_cx.R","src/graph_MS_cx.cpp","retained"
"S_graph_MS_cx_using_short_h_hops","Call","PROTECTED","R/graph_MS_cx.R","src/graph_MS_cx.cpp","retained"
"S_graph_constrained_gradient_flow_trajectories","Call","PROTECTED","R/graph_MS_cx.R","src/graph_MS_cx.cpp","retained"
"S_lslope_gradient_instrumented","Call","CORE-ASSOCIATION","R/lslope.R","src/lslope_r.cpp","retained"
"S_lslope_gradient","Call","CORE-ASSOCIATION","R/lslope.R","src/lslope_r.cpp","retained"
"S_lslope_neighborhood","Call","CORE-ASSOCIATION","R/lslope.R","src/lslope_r.cpp","retained"
"S_lslope_vector_matrix","Call","CORE-ASSOCIATION","R/lslope.R","src/lslope_vector_matrix_r.cpp","retained"
"S_lcor","Call","CORE-ASSOCIATION","R/lcor.R","src/lcor_r.cpp","retained"
"S_lcor_instrumented","Call","CORE-ASSOCIATION","R/lcor.R","src/lcor_r.cpp","retained"
"S_lcor_vector_matrix","Call","CORE-ASSOCIATION","R/lcor.R","src/lcor_r.cpp","retained"
"S_prune_graph_local_geodesic","Call","CORE-PRIVATE","R/local_geodesic_pruning.R","src/local_geodesic_pruning.cpp","retained"
"S_prune_graph_global_geodesic_ratio","Call","CORE-PRIVATE","R/local_geodesic_pruning.R","src/local_geodesic_pruning.cpp","retained"
"S_construct_function_aware_graph","Call","CORE-PRIVATE","R/fn_graphs.R","src/fn_graphs_r.cpp","retained"
"S_extract_skeleton_graph","Call","CORE-PRIVATE","R/nerve_cx.R","src/nerve_cx_r.cpp","retained"
"S_get_simplex_counts","Call","CORE-PRIVATE","R/nerve_cx.R","src/nerve_cx_r.cpp","retained"
"S_create_hHN_graph","Call","EXAMPLE","R/hHN_graphs.R","src/hHN_graphs.cpp","retained"
"S_kNN","Call","CORE-PRIVATE","R/component_mst_connectivity.R","src/iknn_graphs.cpp;src/kNN.cpp","retained"
"S_create_nerve_complex","Call","CORE-PRIVATE","R/nerve_cx.R","src/nerve_cx_r.cpp","retained"
"S_detect_major_arms","Call","CORE-ANALYSIS","R/major_arms.R","src/graph_core_endpoints.cpp","retained"
"S_estimate_local_density_over_grid","Call","CORE-PRIVATE","R/density.R","src/density.cpp","retained"
"S_solve_full_laplacian","Call","CORE-PRIVATE","R/nerve_cx.R","src/nerve_cx_r.cpp","retained"
"S_parameterize_circular_graph","Call","CORE-PRIVATE","R/parameterize_circular_graph.R","src/parameterize_circular_graph_r.cpp","retained"
"S_find_graph_paths_within_radius","Call","DGRAPHS","R/find_shortest_paths_within_radius.R","src/set_wgraph.cpp","retained"
"S_compute_tube_lens_corridor","Call","CORE-ANALYSIS","R/tube_lens_corridor.R","src/tube_lens_corridor.cpp","retained"
"S_get_path_data","Call","CORE-ANALYSIS","R/centered_paths.R","src/centered_paths.cpp","retained"
"S_ugg_get_path_data","Call","CORE-ANALYSIS","R/centered_paths.R","src/centered_paths.cpp","retained"
"_gflow_rcpp_local_pca_chart","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"_gflow_rcpp_compute_graph_endpoint_scores","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"_gflow_rcpp_graph_multi_source_support_by_scale","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"_gflow_rcpp_graph_greedy_maxima_suppression_by_scale","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"_gflow_rcpp_quadform_delaunay_edges_3d","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"_gflow_rcpp_quadform_edge_lengths","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"_gflow_rcpp_quadform_grid_pair_distances","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"_gflow_rcpp_quadform_grid_geodesic_distances","Call","CORE-PRIVATE","R/RcppExports.R","src/RcppExports.cpp","retained"
"S_ecdf","Call","CORE-PRIVATE","R/stats_utils.R","src/cpp_stats_utils.cpp","retained"
"S_rlaplace","Call","CORE-PRIVATE","R/random_sampling.R","src/random_sampling.cpp","retained"
"S_set_function_values","Call","CORE-PRIVATE","R/nerve_cx.R","src/nerve_cx_r.cpp","retained"
"S_set_weight_scheme","Call","CORE-PRIVATE","R/nerve_cx.R","src/nerve_cx_r.cpp","retained"
