"class","ownership","constructor","validator","stable_fields","methods","documentation","tests","status"
"distance.quantile.bins","CORE-ANALYSIS","distance.quantile.bin.analysis",".validate.distance.quantile.bins","bins;tests;bin.assignment;keep","plot.distance.quantile.bins","man/distance.quantile.bin.analysis.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"gfc_modulation","CORE-ANALYSIS","compute.gfc.modulation",".validate.gfc.modulation","modulated.weight.list;modulation;n.vertices;n.edges","plot.gfc_modulation;print.gfc_modulation","man/compute.gfc.modulation.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"gfcor","CORE-ASSOCIATION","gfcor",".validate.gfcor","global;basin_character;n_vertices;polarity_scale;epsilon","print.gfcor;summary.gfcor","man/gfcor.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"gflow_graph","CORE-ANALYSIS","construct.gflow.graph",".validate.gflow.graph","adjacency.list;weight.list;intersection.matrix;basin.metadata;n.ascending;n.descending;edge.type;min.intersection","plot.gflow_graph;print.gflow_graph;summary.gflow_graph","man/construct.gflow.graph.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"harmonic_extension","CORE-ANALYSIS","compute.harmonic.extension",".validate.harmonic.extension","trajectory;trajectory.length;tubular.vertices;extended.coords;hop.distances;geodesic.distances;nearest.traj.idx","as.data.frame.harmonic_extension;print.harmonic_extension","man/compute.harmonic.extension.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"lcor.posterior","CORE-ASSOCIATION","lcor.with.posterior",".validate.lcor.posterior","mean;sd;lower;upper;n.samples;n.features;n.vertices;credible.level;mode","print.lcor.posterior;summary.lcor.posterior","man/lcor.with.posterior.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"lcor_matrix_matrix_result","CORE-ASSOCIATION","lcor",".validate.lcor.matrix.matrix.result","attributes:n.vertices,symmetric,instrumented","print.lcor_matrix_matrix_result;summary.lcor_matrix_matrix_result","man/lcor.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"lcor_vector_matrix_result","CORE-ASSOCIATION","lcor",".validate.lcor.vector.matrix.result","attributes:n.vertices,n.columns,instrumented","print.lcor_vector_matrix_result;summary.lcor_vector_matrix_result","man/lcor.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"lslope_gradient_result","CORE-ASSOCIATION","lslope",".validate.lslope.gradient.result","vertex.coefficients;n.vertices;n.local.maxima;n.local.minima;mean.coefficient;median.coefficient","print.lslope_gradient_result","man/lslope.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"lslope_matrix_matrix_result","CORE-ASSOCIATION","lslope",".validate.lslope.matrix.matrix.result","attributes:n.vertices,n.cols.y,n.cols.z","print.lslope_matrix_matrix_result;summary.lslope_matrix_matrix_result","man/lslope.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"lslope_neighborhood_result","CORE-ASSOCIATION","lslope.neighborhood",".validate.lslope.neighborhood.result","vertex.coefficients;mean.coefficient;median.coefficient;lcor;attributes:n.vertices,weight.type","print.lslope_neighborhood_result","man/lslope.neighborhood.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"lslope_vector_matrix_result","CORE-ASSOCIATION","lslope",".validate.lslope.vector.matrix.result","attributes:n.vertices,n.columns","print.lslope_vector_matrix_result;summary.lslope_vector_matrix_result","man/lslope.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"madag","CORE-ANALYSIS","construct.madag",".validate.madag","source.vertex;n.vertices;cells","print.madag;summary.madag","man/construct.madag.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"se_tree","CORE-ANALYSIS","build.se.tree",".validate.se.tree","root.vertex;root.is.maximum;classification;nodes;ns.min.terminals;ns.max.terminals","print.se_tree","man/build.se.tree.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"summary.gfcor","CORE-ASSOCIATION","summary.gfcor",".validate.summary.gfcor","global;vertex_distribution","print.summary.gfcor","man/summary.gfcor.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"summary.gflow_graph","CORE-ANALYSIS","summary.gflow_graph",".validate.summary.gflow.graph","n.vertices;n.edges;degree.stats;basin.size.stats","print.summary.gflow_graph","man/summary.gflow_graph.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"summary.lcor.posterior","CORE-ASSOCIATION","summary.lcor.posterior",".validate.summary.lcor.posterior","feature.summary;prop.significant.overall;n.features;n.vertices;n.samples;credible.level","print.summary.lcor.posterior","man/lcor.with.posterior.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
"weighted.p.summary","CORE-ASSOCIATION","weighted.p.value.summary",".validate.weighted.p.summary","weighted.p.value;classical.p.value;summary.stats;interpretation;alternative;null.parameters","print.weighted.p.summary","man/weighted.p.value.summary.Rd","tests/testthat/test-phase6-s3-contracts.R","retained"
