"function_name","file"
"arrow.on.trajectory.plot","R/2d_smooth_morse_smale.R"
"check.gradient.consistency","R/2d_smooth_morse_smale.R"
"compute.gradient.trajectory","R/2d_smooth_morse_smale.R"
"compute.morse.smale.cells","R/2d_smooth_morse_smale.R"
"compute.morse.smale.cells1","R/2d_smooth_morse_smale.R"
"create_point","R/2d_smooth_morse_smale.R"
"create.grid","R/2d_smooth_morse_smale.R"
"create.morse.smale.complex","R/2d_smooth_morse_smale.R"
"critical.points.plot","R/2d_smooth_morse_smale.R"
"destination.minimum.identify","R/2d_smooth_morse_smale.R"
"evaluate.along.direction","R/2d_smooth_morse_smale.R"
"evaluate.function.on.grid","R/2d_smooth_morse_smale.R"
"evaluate.function.on.grid.as.vector","R/2d_smooth_morse_smale.R"
"find.ascending.trajectory.from.point","R/2d_smooth_morse_smale.R"
"find.critical.points","R/2d_smooth_morse_smale.R"
"find.critical.points.continuous","R/2d_smooth_morse_smale.R"
"find.descending.trajectory.from.point","R/2d_smooth_morse_smale.R"
"find.line.intersection","R/2d_smooth_morse_smale.R"
"find.separatrices","R/2d_smooth_morse_smale.R"
"find.steepest.ascent.neighbor","R/2d_smooth_morse_smale.R"
"find.steepest.descent.neighbor","R/2d_smooth_morse_smale.R"
"function.contours.plot","R/2d_smooth_morse_smale.R"
"get.neighbors","R/2d_smooth_morse_smale.R"
"gradient.trajectories.plot","R/2d_smooth_morse_smale.R"
"gradient.trajectory.plot","R/2d_smooth_morse_smale.R"
"grid.critical.points.plot","R/2d_smooth_morse_smale.R"
"is.local.maximum","R/2d_smooth_morse_smale.R"
"is.local.minimum","R/2d_smooth_morse_smale.R"
"morse.analysis.plot","R/2d_smooth_morse_smale.R"
"morse.smale.cells.plot","R/2d_smooth_morse_smale.R"
"morse.smale.cells1.plot","R/2d_smooth_morse_smale.R"
"morse.smale.complex.plot","R/2d_smooth_morse_smale.R"
"morse.smale.complex.plot.from.critical","R/2d_smooth_morse_smale.R"
"numerical.second.derivative","R/2d_smooth_morse_smale.R"
"plot.morse.smale.trajectories.from.point","R/2d_smooth_morse_smale.R"
"project.gradient.to.boundary","R/2d_smooth_morse_smale.R"
"sample.points.for.visualization","R/2d_smooth_morse_smale.R"
"separatrices.plot","R/2d_smooth_morse_smale.R"
"separatrices.with.cells.plot","R/2d_smooth_morse_smale.R"
"analyze.comono.distributions","R/analyze_comono_distributions.R"
"plot.comono.diagnostics","R/analyze_comono_distributions.R"
"prof.fn","R/annotation.R"
"show.tx","R/annotation.R"
"standardize.string","R/annotation.R"
".create.threshold.distance.graph","R/basin_cx.R"
"attach.basin.labels","R/basin_cx.R"
"basin_dataframes_reorder","R/basin_cx.R"
"basin.cx.merge","R/basin_cx.R"
"basins.union","R/basin_cx.R"
"calculate_basin_distances","R/basin_cx.R"
"cluster_basins_by_overlap","R/basin_cx.R"
"compute_asc_desc_cell_intersection_matrix","R/basin_cx.R"
"construct.basin.cx.graph","R/basin_cx.R"
"create_basin_cell_complex","R/basin_cx.R"
"create.basin.cx","R/basin_cx.R"
"create.basins.df","R/basin_cx.R"
"create.extrema.df","R/basin_cx.R"
"create.taxonomic.labels","R/basin_cx.R"
"extract_basins_vertices","R/basin_cx.R"
"extract.basins.vertices","R/basin_cx.R"
"get_basin_by_label","R/basin_cx.R"
"get.basin.vertices","R/basin_cx.R"
"get.cell.vertices","R/basin_cx.R"
"intersection_size_matrix","R/basin_cx.R"
"merge_basin_clusters","R/basin_cx.R"
"plot_basin_cx_graph","R/basin_cx.R"
"plot.basin_cx","R/basin_cx.R"
"print.basin_cx","R/basin_cx.R"
"print.summary.basin_cx","R/basin_cx.R"
"relabel_distance_matrices","R/basin_cx.R"
"replace.basin.label.basin_cx","R/basin_cx.R"
"show.basin","R/basin_cx.R"
"show.basin.basin_cx","R/basin_cx.R"
"summarize_cells","R/basin_cx.R"
"summary.basin_cx","R/basin_cx.R"
"find.basin.by.label","R/basin_lookup_functions.R"
"find.basin.by.vertex.in.basins.of.attraction","R/basin_lookup_functions.R"
"find.basin.idx.by.label","R/basin_lookup_functions.R"
"find.basin.idx.by.vertex","R/basin_lookup_functions.R"
"get.basin.label.from.vertex","R/basin_lookup_functions.R"
"get.basin.vertex.from.label","R/basin_lookup_functions.R"
"get.extrema.type.from.label","R/basin_lookup_functions.R"
"bayes.bootstrap.rdgraph","R/bayes_bootstrap_rdgraph.R"
".boxcox.loglik","R/boxcox_utils.R"
"boxcox.mle","R/boxcox_utils.R"
"boxcox.transform","R/boxcox_utils.R"
"cell.trajectories","R/cell_trajectories_generic.R"
"get.path.data","R/centered_paths.R"
"ugg.get.path.data","R/centered_paths.R"
"angle.alignment","R/circular_data_utils.R"
"cluster.comono.graph","R/cluster_comono_graph.R"
"cluster.local.extrema","R/cluster_local_extrema.R"
"compute.overlap.distance.matrix","R/cluster_local_extrema.R"
"adjusted.rand.index","R/clustering.R"
"cluster.graph.louvain","R/clustering.R"
"clusters.reorder","R/clustering.R"
"congruence.with.labels","R/clustering.R"
"describe","R/clustering.R"
"describe.hclust_select_k","R/clustering.R"
"graph.cltr.imputation","R/clustering.R"
"hclust.select.k","R/clustering.R"
"hdbscan.cltr","R/clustering.R"
"kNN.cltr.imputation","R/clustering.R"
"kNN.cltr.imputation.enhanced","R/clustering.R"
"plot.hclust_select_k","R/clustering.R"
"print.hclust_select_k","R/clustering.R"
"summary.hclust_select_k","R/clustering.R"
".postprocess.gfc.flow.v2","R/compat_helpers.R"
".vertex.cell.gfc.flow.v1","R/compat_helpers.R"
"apply.spectral.smoothing","R/compat_helpers.R"
"compute.diameter","R/compat_helpers.R"
"compute.subgraph.density","R/compat_helpers.R"
"determine.optimal.k","R/compat_helpers.R"
"find.path.in.subgraph","R/compat_helpers.R"
"generate.eta.grid","R/compat_helpers.R"
"prepare.basin.da.inputs","R/compat_helpers.R"
"run.da.edger","R/compat_helpers.R"
"summarize.clinical","R/compat_helpers.R"
".add.graph.lifecycle.branches","R/component_mst_connectivity.R"
".augment.graph.with.component.mst","R/component_mst_connectivity.R"
".best.component.bridges","R/component_mst_connectivity.R"
".component.kruskal","R/component_mst_connectivity.R"
".euclidean.distance","R/component_mst_connectivity.R"
".full.euclidean.mst.edges","R/component_mst_connectivity.R"
".graph.components","R/component_mst_connectivity.R"
".graph.edge.table","R/component_mst_connectivity.R"
".graph.from.edge.table","R/component_mst_connectivity.R"
".normalize.bridge.controls","R/component_mst_connectivity.R"
".repair.graph.lifecycle.stage","R/component_mst_connectivity.R"
"arcsin.sqrt.transform","R/compositional_data_utils.R"
"clr.transform","R/compositional_data_utils.R"
"clr.transform.matrix","R/compositional_data_utils.R"
"compute.basins.of.attraction.rtcb","R/compute_basins_of_attraction_rtcb.R"
"basin","R/compute_basins_of_attraction.R"
