"file","symbol","raw"
"R/basin_cx.R","S_create_basin_cx","    initial_basin_cx <- .Call(""S_create_basin_cx"",                               adj.list.0based,                               weight.list,                               as.numeric(y)) "
"R/centered_paths.R","S_get_path_data","    result <- .Call(""S_get_path_data"",                    adj.list.0based,                    weight.list,                    as.double(y),                    as.integer(ref.vertex - 1),"
"R/centered_paths.R","S_ugg_get_path_data","    result <- .Call(""S_ugg_get_path_data"",                    adj.list.0based,                    weight.list,                    as.integer(grid.size),                    as.double(y),"
"R/component_mst_connectivity.R","S_kNN","            raw.bridge <- .Call(                 ""S_kNN"",                 X,                 as.integer(controls$bridge.k.max + 1L),                 PACKAGE = ""gflow"""
"R/compute_basins_of_attraction_rtcb.R","S_compute_basins_of_attraction_rtcb","    result <- .Call(         ""S_compute_basins_of_attraction_rtcb"",         adj.list.0based,         weight.list,         as.numeric(y),"
"R/compute_basins_of_attraction.R","S_compute_basins_of_attraction","    result <- .Call(""S_compute_basins_of_attraction"",                     adj.list.0based,                     weight.list,                     as.numeric(y),                     as.numeric(edge.length.quantile.thld),"
"R/compute_basins_of_attraction.R","S_precompute_basin_vertex_metrics","                vertex.metrics <- .Call(                     ""S_precompute_basin_vertex_metrics"",                     adj.list.0based,                     edgelen.list,                     hop.k,"
"R/compute_basins_of_attraction.R","S_summary_basins_of_attraction_cpp","                .Call(                     ""S_summary_basins_of_attraction_cpp"",                     object,                     adj.list.0based,                     edgelen.list,"
"R/compute_basins_of_attraction.R","S_summary_basins_of_attraction_cpp","            return(.Call(                 ""S_summary_basins_of_attraction_cpp"",                 object,                 NULL,                 NULL,"
"R/compute_gfc_basins.R","S_compute_gfc_basins","    result <- .Call(         S_compute_gfc_basins,         adj.list.0based,         weight.list,         as.numeric(y),"
"R/compute_gfc.R","S_precompute_basin_vertex_metrics","        .Call(             ""S_precompute_basin_vertex_metrics"",             adj.list.0based,             edge.length.list,             hop.k,"
"R/density.R","S_estimate_local_density_over_grid","    result <- .Call(""S_estimate_local_density_over_grid"",                    as.double(x),                    as.integer(grid.size),                    as.double(poffset),                    as.double(bw),"
"R/diffusion_pseudotime_sparse.R","S_build_sparse_transition","    res <- .Call(         ""S_build_sparse_transition"",         prep$adj.0based,         prep$weight.list,         as.integer(wm),"
"R/diffusion_pseudotime_sparse.R","S_compute_diffusion_pseudotime_sparse","    res <- .Call(         ""S_compute_diffusion_pseudotime_sparse"",         prep$adj.0based,         prep$weight.list,         as.integer(roots.0),"
"R/diffusion_pseudotime_sparse.R","S_compute_potential_pseudotime_sparse","    res <- .Call(         ""S_compute_potential_pseudotime_sparse"",         prep$adj.0based,         prep$weight.list,         as.integer(roots.0),"
"R/divergences.R","S_angular_wasserstein_index","    result <- .Call(""S_angular_wasserstein_index"", X, Y, as.integer(k + 1))      return(result) } "
"R/extrema_utils.R","S_compute_extrema_hop_nbhds","    result <- .Call(""S_compute_extrema_hop_nbhds"",                     adj.list.0based,                     weight.list,                     as.numeric(y),                     PACKAGE = ""gflow"")"
"R/find_shortest_paths_within_radius.R","S_find_graph_paths_within_radius","    result <- .Call(""S_find_graph_paths_within_radius"",                     adj.list.0based,                     weight.list,                     start.0based,                     radius)"
"R/fn_graphs.R","S_construct_function_aware_graph","  result <- .Call(""S_construct_function_aware_graph"",                   adj.list.0based,                   weight.list,                   function.values,                   as.integer(weight.type),"
