"file","call","count"
"R/2d_smooth_morse_smale.R","c",89
"R/2d_smooth_morse_smale.R","nrow",48
"R/2d_smooth_morse_smale.R","list",20
"R/2d_smooth_morse_smale.R","matrix",18
"R/2d_smooth_morse_smale.R","is.null",17
"R/2d_smooth_morse_smale.R","lines",13
"R/2d_smooth_morse_smale.R","points",13
"R/2d_smooth_morse_smale.R","invisible",11
"R/2d_smooth_morse_smale.R","rbind",10
"R/2d_smooth_morse_smale.R","all",9
"R/2d_smooth_morse_smale.R","length",9
"R/2d_smooth_morse_smale.R","sum",9
"R/2d_smooth_morse_smale.R","apply",8
"R/2d_smooth_morse_smale.R","names",8
"R/2d_smooth_morse_smale.R","sqrt",8
"R/2d_smooth_morse_smale.R","abs",7
"R/2d_smooth_morse_smale.R","gradient",7
"R/2d_smooth_morse_smale.R","paste",7
"R/2d_smooth_morse_smale.R","seq",7
"R/2d_smooth_morse_smale.R","contour",6
"R/2d_smooth_morse_smale.R","plot",6
"R/2d_smooth_morse_smale.R","polygon",6
"R/2d_smooth_morse_smale.R","range",6
"R/2d_smooth_morse_smale.R","rgb",6
"R/2d_smooth_morse_smale.R","any",5
"R/2d_smooth_morse_smale.R","legend",5
"R/2d_smooth_morse_smale.R","attr",4
"R/2d_smooth_morse_smale.R","compute_trajectory",4
"R/2d_smooth_morse_smale.R","par",4
"R/2d_smooth_morse_smale.R","rep",4
"R/2d_smooth_morse_smale.R","segments",4
"R/2d_smooth_morse_smale.R","sprintf",4
"R/2d_smooth_morse_smale.R","cat",3
"R/2d_smooth_morse_smale.R","cos",3
"R/2d_smooth_morse_smale.R","f",3
"R/2d_smooth_morse_smale.R","paste0",3
"R/2d_smooth_morse_smale.R","sin",3
"R/2d_smooth_morse_smale.R","text",3
"R/2d_smooth_morse_smale.R","unique",3
"R/2d_smooth_morse_smale.R","which",3
"R/2d_smooth_morse_smale.R","as.integer",2
"R/2d_smooth_morse_smale.R","as.matrix",2
"R/2d_smooth_morse_smale.R","as.numeric",2
"R/2d_smooth_morse_smale.R","as.vector",2
"R/2d_smooth_morse_smale.R","atan2",2
"R/2d_smooth_morse_smale.R","cbind",2
"R/2d_smooth_morse_smale.R","class",2
"R/2d_smooth_morse_smale.R","data.frame",2
"R/2d_smooth_morse_smale.R","expand.grid",2
"R/2d_smooth_morse_smale.R","floor",2
"R/2d_smooth_morse_smale.R","grep",2
"R/2d_smooth_morse_smale.R","image",2
"R/2d_smooth_morse_smale.R","max",2
"R/2d_smooth_morse_smale.R","min",2
"R/2d_smooth_morse_smale.R","numeric",2
"R/2d_smooth_morse_smale.R","setdiff",2
"R/2d_smooth_morse_smale.R","strsplit",2
"R/2d_smooth_morse_smale.R","sub",2
"R/2d_smooth_morse_smale.R","box",1
"R/2d_smooth_morse_smale.R","diff",1
"R/2d_smooth_morse_smale.R","eigen",1
"R/2d_smooth_morse_smale.R","grepl",1
"R/2d_smooth_morse_smale.R","is.na",1
"R/2d_smooth_morse_smale.R","ncol",1
"R/2d_smooth_morse_smale.R","print",1
"R/2d_smooth_morse_smale.R","rainbow",1
"R/2d_smooth_morse_smale.R","rect",1
"R/2d_smooth_morse_smale.R","sapply",1
"R/2d_smooth_morse_smale.R","seq_len",1
"R/2d_smooth_morse_smale.R","setNames",1
"R/2d_smooth_morse_smale.R","t",1
"R/2d_smooth_morse_smale.R","warning",1
"R/2d_smooth_morse_smale.R","which.min",1
"R/bayes_bootstrap_rdgraph.R","as.double",14
"R/bayes_bootstrap_rdgraph.R","stop",13
"R/bayes_bootstrap_rdgraph.R","length",8
"R/bayes_bootstrap_rdgraph.R","clip01",6
"R/bayes_bootstrap_rdgraph.R","is.numeric",6
