"file","target_proposed_package","count"
"R/2d_smooth_morse_smale.R","geosmooth",41
"R/bayes_bootstrap_rdgraph.R","geosmooth",1
"R/data_smoother.R","geosmooth",2
"R/data_smoother.R","gflow",2
"R/data_smoother.R","shared",1
"R/graph_trend_filtering.R","geosmooth",32
"R/kernel_local_polynomial_cv.R","geosmooth",28
"R/kernel_local_polynomial_cv.R","shared",4
"R/lpl_tf.R","geosmooth",66
"R/lpl_tf.R","shared",2
"R/malps.R","geosmooth",111
"R/malps.R","gflow",4
"R/malps.R","shared",1
"R/mean_shift_smoother.R","geosmooth",2
"R/mean_shift_smoother.R","shared",2
"R/metric_graph_lowpass.R","geosmooth",56
"R/metric_graph_lowpass.R","shared",1
"R/pttf_fit.R","geosmooth",26
"R/pttf_geometry.R","geosmooth",32
"R/pttf_geometry.R","gflow",2
"R/pttf_operator.R","geosmooth",40
"R/refit_rdgraph_regression.R","geosmooth",4
"R/refit_rdgraph_regression.R","shared",1
"R/riem_dcx_regression.R","geosmooth",1
"R/riem_dcx_regression.R","gflow",4
"R/riem_dcx_regression.R","shared",5
"R/slpl_tf.R","geosmooth",55
"R/ssrhe_hessian_energy.R","geosmooth",152
"R/ssrhe_hessian_energy.R","gflow",1
