"file","symbol","raw"
"R/harmonic_extension.R","S_compute_harmonic_extension","    result <- .Call(         S_compute_harmonic_extension,         adj.list.0based,         weight.list,         trajectory.0based,"
"R/harmonic_extension.R","S_select_max_density_trajectory","    result <- .Call(         S_select_max_density_trajectory,         trajectories.0based,         as.numeric(density),         PACKAGE = ""gflow"""
"R/harmonic_smoother.R","S_perform_harmonic_smoothing","    result <- .Call(""S_perform_harmonic_smoothing"",                     adj.list.0based,                     weight.list,                     as.numeric(values),                     as.integer(region.vertices),"
"R/harmonic_smoother.R","S_harmonic_smoother","    result <- .Call(""S_harmonic_smoother"",                     adj.list.0based,                     weight.list,                     as.numeric(values),                     as.integer(region.vertices),"
"R/mean_shift_smoother.R","S_mean_shift_data_smoother","        result <- .Call(""S_mean_shift_data_smoother"",                         X,                         as.integer(k),                         as.integer(density.k),                         as.integer(n.steps),"
"R/mean_shift_smoother.R","S_mean_shift_data_smoother_with_grad_field_averaging","        result <- .Call(""S_mean_shift_data_smoother_with_grad_field_averaging"",                        X,                        as.integer(k),                        as.integer(density.k),                        as.integer(n.steps),"
"R/mean_shift_smoother.R","S_mean_shift_data_smoother_adaptive","        result <- .Call(""S_mean_shift_data_smoother_adaptive"",                        X,                        as.integer(k),                        as.integer(density.k),                        as.integer(n.steps),"
"R/metric_graph_lowpass.R","S_metric_graph_lowpass_operator","    out <- .Call(         ""S_metric_graph_lowpass_operator"",         graph$adj.list.0based,         graph$weight.list.cpp,         args$conductance.rule,"
"R/metric_graph_lowpass.R","S_metric_graph_lowpass_spectrum","    raw <- .Call(         ""S_metric_graph_lowpass_spectrum"",         graph$adj.list.0based,         graph$weight.list.cpp,         args$conductance.rule,"
"R/refit_rdgraph_regression.R","S_compute_posterior_summary","                post.j <- .Call(                     ""S_compute_posterior_summary"",                     V,                     eigenvalues,                     filtered.eigenvalues.j,"
"R/riem_dcx_regression.R","S_fit_rdgraph_regression","    fit <- .Call(         S_fit_rdgraph_regression,         X,         as.double(y),         if (is.null(y.vertices)) NULL else as.integer(y.vertices),"
"R/riem_dcx_regression.R","S_compute_hop_extremp_radii_batch","        hop_maxp_radii <- .Call(""S_compute_hop_extremp_radii_batch"",                                 adj.list,                                 dcx$optimal.fit$graph$edge.densities,                                 rho,                                 as.integer(max_candidates),"
"R/riem_dcx_regression.R","S_compute_hop_extremp_radii_batch","        hop_minp_radii <- .Call(""S_compute_hop_extremp_radii_batch"",                                 adj.list,                                 dcx$optimal.fit$graph$edge.densities,                                 rho,                                 as.integer(min_candidates),"
"R/ssrhe_hessian_energy.R","S_ssrhe_hessian_operator","    raw <- .Call(         ""S_ssrhe_hessian_operator"",         X,         as.integer(neighborhood$k),         as.integer(tangent.dim.cpp),"
"R/ulogit.R","S_ulogit","    result <- .Call(""S_ulogit"",                     as.double(x),                     as.double(y),                     as.double(w),                     as.integer(max.iterations),"
"R/ulogit.R","S_eigen_ulogit","    result <- .Call(""S_eigen_ulogit"",                     as.double(x),                     as.double(y),                     as.double(w),                     as.logical(fit.quadratic),"
