"file","call","count","call_package","target_file","target_proposed_package"
"R/2d_smooth_morse_smale.R","<-",280,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","[",241,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","$",153,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","{",150,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","c",89,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","if",70,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","function",51,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","nrow",48,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","-",44,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","return",42,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","for",37,"syntax",NA,NA
"R/2d_smooth_morse_smale.R",":",32,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","+",29,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","*",26,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","[[",24,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","!",22,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","&&",21,"syntax",NA,NA
"R/2d_smooth_morse_smale.R",">",20,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","list",20,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","==",18,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","matrix",18,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","<",17,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","is.null",17,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","(",15,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","lines",13,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","points",13,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","invisible",11,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","/",10,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","rbind",10,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","all",9,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","length",9,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","sum",9,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","^",8,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","apply",8,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","names",8,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","sqrt",8,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","||",7,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","abs",7,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","gradient",7,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","paste",7,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","seq",7,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","break",6,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","contour",6,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","plot",6,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","polygon",6,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","range",6,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","rgb",6,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","any",5,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","compute.gradient.trajectory",5,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","legend",5,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","attr",4,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","compute_trajectory",4,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","find.ascending.trajectory.from.point",4,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","function.contours.plot",4,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","get.neighbors",4,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","par",4,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","rep",4,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","segments",4,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","sprintf",4,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","&",3,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","<=",3,"syntax",NA,NA
"R/2d_smooth_morse_smale.R",">=",3,"syntax",NA,NA
"R/2d_smooth_morse_smale.R","cat",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","cos",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","evaluate.function.on.grid",3,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","f",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","find.descending.trajectory.from.point",3,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","paste0",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","sin",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","text",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","unique",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","which",3,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","arrow.on.trajectory.plot",2,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","as.integer",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","as.matrix",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","as.numeric",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","as.vector",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","atan2",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","cbind",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","class",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","data.frame",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","expand.grid",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","find.critical.points",2,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
"R/2d_smooth_morse_smale.R","floor",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","grep",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","image",2,"external_or_base",NA,NA
"R/2d_smooth_morse_smale.R","is.local.maximum",2,"gflow_internal","R/2d_smooth_morse_smale.R","geosmooth"
