"symbol","source_hit"
"S_create_basin_cx","src/gflow_basins_r.cpp	    SEXP S_create_basin_cx("
"S_create_basin_cx","src/gflow_basins_r.cpp	SEXP S_create_basin_cx("
"S_create_basin_cx","src/init.c	  {""S_create_basin_cx"", (DL_FUNC) &S_create_basin_cx, 3},"
"S_get_path_data","src/centered_paths.cpp	    SEXP S_get_path_data("
"S_get_path_data","src/centered_paths.cpp	SEXP S_get_path_data("
"S_get_path_data","src/init.c	  {""S_get_path_data"", (DL_FUNC) &S_get_path_data, 10},"
"S_ugg_get_path_data","src/centered_paths.cpp	    SEXP S_ugg_get_path_data("
"S_ugg_get_path_data","src/centered_paths.cpp	SEXP S_ugg_get_path_data("
"S_ugg_get_path_data","src/init.c	  {""S_ugg_get_path_data"", (DL_FUNC) &S_ugg_get_path_data, 11},"
"S_kNN","src/iknn_graphs.cpp	#include ""kNN_r.h""            // for S_kNN()"
"S_kNN","src/iknn_graphs.cpp	    SEXP knn_res = PROTECT(S_kNN(RX, Rk));"
"S_kNN","src/iknn_graphs.cpp	    SEXP knn_res = PROTECT(S_kNN(RX, Rk));"
"S_kNN","src/iknn_graphs.cpp	    SEXP knn_res = PROTECT(S_kNN(RX, Rk));"
"S_kNN","src/init.c	#include ""kNN_r.h""       // for S_kNN()"
"S_kNN","src/init.c	  {""S_kNN"", (DL_FUNC) &S_kNN, 2},"
"S_kNN","src/init.c	  //{""S_kNN_v2"", (DL_FUNC) &S_kNN_v2, 2},"
"S_kNN","src/kNN.cpp	    SEXP S_kNN(SEXP RX, SEXP Rk);"
"S_kNN","src/kNN.cpp	SEXP S_kNN(SEXP RX, SEXP Rk) {"
"S_kNN","src/kNN.cpp	    if (!Rf_isMatrix(RX)) { Rf_error(""S_kNN: RX must be a matrix""); }"
"S_kNN","src/kNN.cpp	    catch (...) { annDeallocPts(dataPts); annClose(); Rf_error(""S_kNN: kd-tree build failed""); }"
"S_kNN","src/mknn_graphs.cpp	#include ""kNN_r.h""            // For S_kNN()"
"S_kNN","src/mknn_graphs.cpp	    SEXP knn_res = PROTECT(S_kNN(RX, Rk));"
"S_kNN","src/mknn_graphs.cpp	        Rf_error(""MW_kNN_graph: Error in S_kNN: kNN index extraction failed."");"
"S_kNN","src/mknn_graphs.cpp	        Rf_error(""MW_kNN_graph: Error in S_kNN: kNN distances extraction failed."");"
"S_kNN","src/mknn_graphs.cpp	                Rf_error(""MW_kNN_graph: S_kNN returned an out-of-range neighbor index."");"
"S_kNN","src/riem_dcx.cpp	#include ""kNN_r.h""            // for S_kNN()"
"S_compute_basins_of_attraction_rtcb","src/init.c	  {""S_compute_basins_of_attraction_rtcb"", (DL_FUNC) &S_compute_basins_of_attraction_rtcb, 6},"
"S_compute_basins_of_attraction_rtcb","src/set_wgraph_basins_rtcb_r.cpp	extern ""C"" SEXP S_compute_basins_of_attraction_rtcb("
"S_compute_basins_of_attraction","src/gfc.cpp	    // Compute basins using compute_geodesic_basin (same as R's S_compute_basins_of_attraction)"
"S_compute_basins_of_attraction","src/init.c	  {""S_compute_basins_of_attraction"", (DL_FUNC) &S_compute_basins_of_attraction, 5},"
"S_compute_basins_of_attraction","src/init.c	  {""S_compute_basins_of_attraction_rtcb"", (DL_FUNC) &S_compute_basins_of_attraction_rtcb, 6},"
"S_compute_basins_of_attraction","src/set_wgraph_basins_r.cpp	extern ""C"" SEXP S_compute_basins_of_attraction("
"S_compute_basins_of_attraction","src/set_wgraph_basins_r.cpp	extern ""C"" SEXP S_compute_basins_of_attraction("
"S_compute_basins_of_attraction","src/set_wgraph_basins_rtcb_r.cpp	extern ""C"" SEXP S_compute_basins_of_attraction_rtcb("
"S_precompute_basin_vertex_metrics","src/basin_summary_r.cpp	extern ""C"" SEXP S_precompute_basin_vertex_metrics("
"S_precompute_basin_vertex_metrics","src/basin_summary_r.h	SEXP S_precompute_basin_vertex_metrics("
"S_precompute_basin_vertex_metrics","src/init.c	  {""S_precompute_basin_vertex_metrics"", (DL_FUNC) &S_precompute_basin_vertex_metrics, 3},"
"S_summary_basins_of_attraction_cpp","src/basin_summary_r.cpp	extern ""C"" SEXP S_summary_basins_of_attraction_cpp("
"S_summary_basins_of_attraction_cpp","src/basin_summary_r.h	SEXP S_summary_basins_of_attraction_cpp("
"S_summary_basins_of_attraction_cpp","src/init.c	  {""S_summary_basins_of_attraction_cpp"", (DL_FUNC) &S_summary_basins_of_attraction_cpp, 5},"
"S_compute_gfc_basins","src/gfc_basins_r.cpp	extern ""C"" SEXP S_compute_gfc_basins("
"S_compute_gfc_basins","src/init.c	  {""S_compute_gfc_basins"",      (DL_FUNC) &S_compute_gfc_basins, 7},"
"S_estimate_local_density_over_grid","src/density.cpp	    SEXP S_estimate_local_density_over_grid(SEXP s_x,"
"S_estimate_local_density_over_grid","src/density.cpp	SEXP S_estimate_local_density_over_grid(SEXP s_x,"
"S_estimate_local_density_over_grid","src/density.cpp	            Rf_error(""S_estimate_local_density_over_grid(): 'x' must be a non-empty numeric vector."");"
"S_estimate_local_density_over_grid","src/density.cpp	        Rf_error(""S_estimate_local_density_over_grid(): 'grid_size' must be a positive integer."");"
"S_estimate_local_density_over_grid","src/density.cpp	        Rf_error(""S_estimate_local_density_over_grid(): 'poffset' cannot be NA."");"
"S_estimate_local_density_over_grid","src/density.cpp	        Rf_error(""S_estimate_local_density_over_grid(): 'pilot_bandwidth' must be >= 0."");"
"S_estimate_local_density_over_grid","src/density.cpp	        Rf_error(""S_estimate_local_density_over_grid(): 'kernel_type' must be a non-negative integer."");"
"S_estimate_local_density_over_grid","src/density.cpp	        Rf_error(""S_estimate_local_density_over_grid(): 'verbose' must be TRUE/FALSE."");"
"S_estimate_local_density_over_grid","src/init.c	  {""S_estimate_local_density_over_grid"", (DL_FUNC) &S_estimate_local_density_over_grid, 6},"
"S_build_sparse_transition","src/diffusion_pseudotime_sparse_r.cpp	extern ""C"" SEXP S_build_sparse_transition("
"S_build_sparse_transition","src/init.c	  {""S_build_sparse_transition"", (DL_FUNC) &S_build_sparse_transition, 5},"
"S_compute_diffusion_pseudotime_sparse","src/diffusion_pseudotime_sparse_r.cpp	extern ""C"" SEXP S_compute_diffusion_pseudotime_sparse("
"S_compute_diffusion_pseudotime_sparse","src/init.c	  {""S_compute_diffusion_pseudotime_sparse"", (DL_FUNC) &S_compute_diffusion_pseudotime_sparse, 12},"
"S_compute_potential_pseudotime_sparse","src/diffusion_pseudotime_sparse_r.cpp	extern ""C"" SEXP S_compute_potential_pseudotime_sparse("
"S_compute_potential_pseudotime_sparse","src/init.c	  {""S_compute_potential_pseudotime_sparse"", (DL_FUNC) &S_compute_potential_pseudotime_sparse, 12},"
"S_angular_wasserstein_index","src/angular_wasserstein_index.cpp	    SEXP S_angular_wasserstein_index(SEXP s_X, SEXP s_Y, SEXP s_k);"
"S_angular_wasserstein_index","src/angular_wasserstein_index.cpp	 * .Call(""S_angular_wasserstein_index"", X, Y, as.integer(k))"
"S_angular_wasserstein_index","src/angular_wasserstein_index.cpp	SEXP S_angular_wasserstein_index(SEXP s_X, SEXP s_Y, SEXP s_k) {"
"S_angular_wasserstein_index","src/init.c	  {""S_angular_wasserstein_index"", (DL_FUNC) &S_angular_wasserstein_index, 3},"
"S_compute_extrema_hop_nbhds","src/gflow_cx_r.cpp		SEXP S_compute_extrema_hop_nbhds("
"S_compute_extrema_hop_nbhds","src/gflow_cx_r.cpp	SEXP S_compute_extrema_hop_nbhds("
"S_compute_extrema_hop_nbhds","src/init.c	  {""S_compute_extrema_hop_nbhds"", (DL_FUNC) &S_compute_extrema_hop_nbhds, 3},"
"S_find_graph_paths_within_radius","src/init.c	  {""S_find_graph_paths_within_radius"", (DL_FUNC) &S_find_graph_paths_within_radius, 4},"
"S_find_graph_paths_within_radius","src/set_wgraph.cpp	    SEXP S_find_graph_paths_within_radius("
