"file","call","count","call_package","target_file","target_proposed_package"
"R/kernel_local_polynomial_cv.R","<-",136,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","$",78,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","{",61,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","[",40,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","if",39,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","[[",35,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","function",28,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","!",27,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","is.finite",22,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","||",18,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","as.integer",16,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","length",14,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","nrow",14,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","return",14,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","&",13,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","ncol",13,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","stop",13,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","identical",12,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","list",11,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","seq_len",11,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R",">",10,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","any",10,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","c",10,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","is.null",9,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","unique",9,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","cat",8,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","for",8,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","-",7,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","(",7,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","^",7,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","<",7,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","==",7,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","&&",6,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","as.numeric",6,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","!=",5,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","+",5,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","as.matrix",5,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","stats::weighted.mean",5,"stats",NA,NA
"R/kernel_local_polynomial_cv.R","match.arg",4,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","min",4,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","paste",4,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","sort",4,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","sqrt",4,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","emptyenv",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","is.numeric",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","matrix",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","max",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","new.env",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","order",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","seq_along",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","sum",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","which",3,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R",":",2,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R",".klp.fit.intercept.lazy",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.get.local.design",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.kernel.weights",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.local.coordinates",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.local.neighborhood.from.order",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.local.order",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.predict.local.polynomial",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.resolve.chart.dim",2,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".malps.design.matrix",2,"gflow_internal","R/malps.R","geosmooth"
"R/kernel_local_polynomial_cv.R","*",2,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","/",2,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","%in%",2,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","<=",2,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","names",2,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","numeric",2,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","pmax",2,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","rep",2,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","rowSums",2,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","stats::lm.wfit",2,"stats",NA,NA
"R/kernel_local_polynomial_cv.R","tryCatch",2,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R",".klp.clean.degree.grid",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.clean.kernel.grid",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.clean.support.grid",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.cv.table",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.design.cache.key",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.design.ncol",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.fit.intercept.design",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.prepare.foldid",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.resolve.backend",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".klp.rmse",1,"gflow_internal","R/kernel_local_polynomial_cv.R","geosmooth"
"R/kernel_local_polynomial_cv.R",".local.pca.auto.chart.dim.with.metric",1,"gflow_internal","R/local_pca_chart_dim.R","shared"
"R/kernel_local_polynomial_cv.R",">=",1,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","as.character",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","assign",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","class",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","exists",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","exp",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","expand.grid",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","get",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","ifelse",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","invisible",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","is.na",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","lapply",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","match.call",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","mean",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","next",1,"syntax",NA,NA
"R/kernel_local_polynomial_cv.R","nzchar",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","rcpp_kernel_local_polynomial_cv_coordinates",1,"gflow_internal","R/RcppExports.R","shared"
"R/kernel_local_polynomial_cv.R","rcpp_kernel_local_polynomial_predict_coordinates",1,"gflow_internal","R/RcppExports.R","shared"
"R/kernel_local_polynomial_cv.R","rcpp_local_pca_chart",1,"gflow_internal","R/RcppExports.R","shared"
"R/kernel_local_polynomial_cv.R","sample",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","set.seed",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","signif",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","sweep",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","switch",1,"external_or_base",NA,NA
"R/kernel_local_polynomial_cv.R","vapply",1,"external_or_base",NA,NA
